Date,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
4/15/2014,8.19,8.24,8.37,8.45,8.51,8.575,8.355,8.375,8.495,8.555,8.635,8.655
4/14/2014,8.2375,8.235,8.37,8.45,8.5,8.565,8.345,8.365,8.485,8.545,8.625,8.645
4/11/2014,8.2375,8.235,8.37,8.45,8.5,8.565,8.345,8.365,8.485,8.545,8.625,8.645
4/10/2014,8.29,8.33,8.37,8.45,8.52,8.605,8.385,8.405,8.525,8.585,8.665,8.685
4/9/2014,8.225,8.275,8.37,8.45,8.55,8.645,8.435,8.455,8.595,8.655,8.6875,8.705
4/8/2014,8.275,8.315,8.45,8.51,8.58,8.605,8.405,8.435,8.565,8.625,8.7225,8.7925
4/7/2014,8.275,8.315,8.45,8.51,8.58,8.655,8.405,8.435,8.565,8.665,8.7225,8.7925
4/4/2014,8.275,8.325,8.45,8.51,8.56,8.635,8.43,8.455,8.59,8.65,8.7475,8.83
4/3/2014,8.275,8.325,8.45,8.51,8.56,8.635,8.43,8.45,8.58,8.64,8.7375,8.82
4/2/2014,8.29,8.39,8.45,8.5,8.565,8.625,8.415,8.435,8.57,8.63,8.7275,8.81
