"","X1M","X2M","X3M","X6M","X9M","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"2011-10-07",8.35,8.35,8.36,8.225,8.075,7.955,7.5,7.5375,7.5725,7.585,7.6775,7.7525
"2011-10-10",8.375,8.375,8.375,8.3,8.25,8.085,7.64,7.655,7.6875,7.715,7.825,7.91
"2011-10-11",8.39,8.38,8.365,8.25,8.16,8.035,7.595,7.6025,7.6175,7.635,7.74,7.83
"2011-10-12",8.41,8.405,8.42,8.335,8.26,8.0603,7.6125,7.615,7.635,7.66,7.795,7.875
"2011-10-13",8.435,8.435,8.43,8.33,8.17,8.0763,7.6525,7.6525,7.6425,7.6653,7.775,7.86
"2011-10-14",8.44,8.445,8.51,8.415,8.31,8.19,7.74,7.66,7.76,7.78,7.82,7.9
"2011-10-17",8.445,8.475,8.49,8.465,8.385,8.24,7.66,7.66,7.69,7.82,7.865,7.94
"2011-10-18",8.455,8.5,8.485,8.45,8.31,8.11,7.68,7.68,7.695,7.7,7.7675,7.88
"2011-10-19",8.475,8.5,8.42,8.465,8.355,8.23,7.72,7.72,7.7025,7.735,7.843,7.918
"2011-10-20",8.575,8.55,8.525,8.43,8.35,8.2425,7.73,7.74,7.745,7.75,7.853,7.928
"2011-10-21",8.55,8.55,8.52,8.575,8.425,8.33,7.8375,7.815,7.82,7.82,7.923,8.003
"2011-10-24",8.54,8.54,8.59,8.57,8.4375,8.305,7.82,7.8,7.82,7.815,7.8953,7.95
"2011-10-25",8.5,8.5,8.55,8.455,8.265,8.12,7.615,7.605,7.645,7.6625,7.7478,7.853
"2011-10-26",8.5,8.5,8.5,8.47,8.28,8.12,7.615,7.605,7.645,7.6625,7.7478,7.853
"2011-10-27",8.5,8.5,8.5,8.47,8.28,8.12,7.61,7.605,7.64,7.6575,7.7478,7.8478
"2011-10-28",8.5,8.5,8.56,8.53,8.355,8.2778,7.7875,7.795,7.813,7.8375,7.93,8.01
"2011-10-31",8.59,8.59,8.55,8.55,8.37,8.24,7.795,7.79,7.79,7.795,7.903,7.99
"2011-11-01",8.525,8.525,8.525,8.48,8.35,8.21,7.71,7.6925,7.715,7.715,7.818,7.87
"2011-11-02",8.55,8.55,8.55,8.505,8.35,8.23,7.74,7.735,7.7328,7.75,7.84,7.87
"2011-11-03",8.55,8.55,8.55,8.5,8.33,8.215,7.67,7.6575,7.63,7.66,7.808,7.8653
"2011-11-04",8.55,8.55,8.55,8.5,8.37,8.2525,7.76,7.73,7.72,7.75,7.848,7.87
"2011-11-07",8.55,8.55,8.55,8.5,8.37,8.2525,7.76,7.73,7.72,7.75,7.848,7.87
"2011-11-08",8.55,8.55,8.535,8.515,8.38,8.2825,7.75,7.745,7.745,7.77,7.873,7.948
"2011-11-09",8.6,8.6,8.575,8.475,8.34,8.2428,7.703,7.6878,7.71,7.7478,7.845,7.87
"2011-11-10",8.6,8.6,8.575,8.49,8.35,8.2423,7.702,7.6878,7.71,7.7478,7.845,7.87
"2011-11-11",8.6,8.585,8.5,8.37,8.275,8.145,7.62,7.615,7.625,7.605,7.733,7.8303
"2011-11-14",8.6,8.585,8.49,8.36,8.235,8.145,7.61,7.615,7.6025,7.6325,7.738,7.813
"2011-11-15",8.6,8.57,8.5,8.3825,8.2,8.12,7.5625,7.525,7.54,7.57,7.673,7.6878
"2011-11-16",8.6,8.57,8.5,8.4025,8.2775,8.1375,7.5675,7.54,7.5625,7.575,7.678,7.753
"2011-11-17",8.6,8.56,8.55,8.32,8.19,8.08,7.525,7.475,7.4925,7.51,7.608,7.6728
"2011-11-18",8.6,8.55,8.49,8.265,8.15,8.085,7.5873,7.5303,7.538,7.5553,7.658,7.733
"2011-11-21",8.6,8.55,8.5,8.2925,8.185,8.125,7.5553,7.5078,7.5253,7.585,7.633,7.705
"2011-11-22",8.6,8.55,8.505,8.3225,8.2225,8.1248,7.6128,7.62,7.62,7.6103,7.708,7.778
"2011-11-23",8.6,8.55,8.51,8.35,8.24,8.125,7.6075,7.5525,7.57,7.5875,7.683,7.758
"2011-11-24",8.6,8.55,8.5,8.3,8.18,8.0625,7.5925,7.545,7.5575,7.5575,7.663,7.738
"2011-11-25",8.625,8.6,8.5,8.29,8.18,8.0603,7.59,7.5503,7.555,7.5603,7.67,7.745
"2011-11-28",8.625,8.6,8.505,8.29,8.195,8.0825,7.58,7.5575,7.5675,7.57,7.7,7.773
"2011-11-29",8.625,8.6,8.49,8.27,8.16,8.0803,7.5878,7.56,7.5625,7.5728,7.653,7.733
"2011-11-30",8.625,8.6,8.545,8.235,8.11,7.99,7.48,7.4853,7.495,7.5003,7.608,7.682
"2011-12-01",8.6,8.6,8.52,8.18,8.0775,7.9125,7.48,7.4628,7.4728,7.4853,7.575,7.6
"2011-12-02",8.65,8.6,8.45,8.15,8.01,7.845,7.4,7.375,7.385,7.39,7.508,7.54
"2011-12-05",8.65,8.6,8.425,8.18,8.0475,7.88,7.4,7.4,7.4,7.4,7.45,7.54
"2011-12-06",8.65,8.6,8.45,8.16,8.08,7.8728,7.4025,7.3875,7.395,7.4,7.515,7.54
"2011-12-07",8.65,8.6,8.4393,8.1239,7.99,7.8678,7.4053,7.3725,7.4025,7.41,7.528,7.613
"2011-12-08",8.625,8.55,8.375,8.05,7.965,7.7173,7.2828,7.24,7.29,7.3128,7.43,7.4325
"2011-12-09",8.625,8.535,8.375,8.085,7.89,7.71,7.26,7.25,7.25,7.27,7.457,7.543
"2011-12-12",8.625,8.535,8.35,8.03,7.78,7.685,7.2625,7.25,7.275,7.29,7.3853,7.515
"2011-12-13",8.6,8.57,8.35,8,7.75,7.6648,7.2528,7.275,7.3225,7.385,7.408,7.488
"2011-12-14",8.6,8.57,8.315,8.07,7.8275,7.7103,7.298,7.2853,7.31,7.3328,7.448,7.533
"2011-12-15",8.575,8.56,8.315,8.025,7.825,7.718,7.3328,7.3028,7.338,7.3628,7.488,7.573
"2011-12-16",8.6,8.575,8.28,7.995,7.75,7.625,7.205,7.165,7.19,7.305,7.345,7.405
"2011-12-19",8.625,8.575,8.29,7.945,7.7175,7.6038,7.16,7.088,7.1,7.1,7.295,7.38
"2011-12-20",8.65,8.6,8.48,8.05,7.8275,7.685,7.1853,7.1353,7.1678,7.2128,7.345,7.43
"2011-12-21",8.65,8.6,8.46,8.07,7.795,7.68,7.22,7.1575,7.2,7.24,7.373,7.458
"2011-12-22",8.65,8.6,8.475,8.05,7.845,7.71,7.235,7.1875,7.22,7.2625,7.395,7.48
"2011-12-23",8.65,8.6,8.475,8.12,7.85,7.7303,7.255,7.1878,7.2278,7.2828,7.415,7.5
"2011-12-26",8.65,8.6,8.475,8.08,7.85,7.7323,7.2625,7.1953,7.2353,7.2928,7.43,7.5075
"2011-12-27",8.65,8.6,8.48,8.105,7.885,7.76,7.35,7.2703,7.2903,7.3503,7.473,7.5803
"2011-12-28",8.8,8.625,8.46,8.08,7.925,7.7423,7.3073,7.25,7.3,7.3228,7.473,7.56
"2011-12-29",8.925,8.65,8.46,8.04,7.835,7.73,7.3025,7.2425,7.285,7.335,7.525,7.665
"2011-12-30",8.95,8.625,8.46,7.97,7.79,7.7153,7.3028,7.2503,7.338,7.425,7.65,7.81
"2012-01-02",8.95,8.625,8.46,7.96,7.76,7.6503,7.238,7.168,7.228,7.3028,7.49,7.635
"2012-01-03",8.875,8.485,8.425,7.97,7.73,7.6173,7.2003,7.1578,7.2148,7.2778,7.465,7.6075
"2012-01-04",8.775,8.5,8.44,8.035,7.805,7.6523,7.2353,7.24,7.29,7.36,7.49,7.635
"2012-01-05",8.75,8.525,8.44,8.085,7.83,7.675,7.25,7.218,7.2578,7.3203,7.49,7.625
"2012-01-06",8.75,8.5,8.5,8.125,7.84,7.6928,7.2653,7.2253,7.2703,7.3328,7.465,7.595
"2012-01-09",8.75,8.5,8.47,8.12,7.88,7.7375,7.285,7.2528,7.2903,7.3375,7.485,7.68
"2012-01-10",8.75,8.525,8.51,8.15,7.96,7.78,7.34,7.3,7.34,7.4,7.565,7.6675
"2012-01-11",8.75,8.55,8.51,8.27,8.0175,7.8498,7.41,7.36,7.39,7.4128,7.54,7.6725
"2012-01-12",8.75,8.55,8.54,8.24,8.0425,7.8648,7.38,7.33,7.3553,7.3953,7.55,7.6475
"2012-01-13",8.75,8.55,8.54,8.225,8.02,7.865,7.3548,7.3128,7.328,7.3653,7.505,7.625
"2012-01-16",8.75,8.575,8.6,8.295,8.1,7.93,7.415,7.3725,7.3775,7.415,7.558,7.75
"2012-01-17",8.8,8.65,8.62,8.41,8.255,8.06,7.545,7.49,7.47,7.505,7.638,7.7428
"2012-01-18",8.875,8.7,8.64,8.37,8.195,8.035,7.525,7.445,7.43,7.445,7.573,7.6703
"2012-01-19",8.875,8.75,8.54,8.37,8.2,8.0275,7.525,7.455,7.4375,7.445,7.578,7.6753
"2012-01-20",8.9,8.75,8.7,8.375,8.19,8.075,7.6,7.52,7.485,7.53,7.613,7.713
"2012-01-23",8.9,8.775,8.7,8.4,8.22,7.95,7.535,7.4553,7.43,7.4703,7.608,7.6953
"2012-01-24",8.85,8.75,8.625,8.41,8.215,8.04,7.575,7.56,7.5225,7.5425,7.658,7.7628
"2012-01-25",8.775,8.75,8.6,8.47,8.245,8.085,7.585,7.49,7.485,7.5025,7.618,7.7003
"2012-01-26",8.85,8.75,8.65,8.42,8.25,8.085,7.585,7.49,7.485,7.5025,7.618,7.7003
"2012-01-27",8.85,8.75,8.665,8.43,8.295,8.1478,7.605,7.54,7.52,7.53,7.608,7.7128
"2012-01-30",8.85,8.75,8.75,8.46,8.265,8.115,7.52,7.3975,7.3925,7.39,7.4753,7.5653
"2012-01-31",8.825,8.85,8.775,8.515,8.325,8.175,7.6,7.4625,7.4425,7.445,7.5253,7.608
"2012-02-01",8.825,8.95,8.7,8.48,8.29,8.1225,7.575,7.4425,7.425,7.4275,7.52,7.6078
"2012-02-02",8.825,8.95,8.75,8.44,8.245,8.0925,7.55,7.425,7.415,7.415,7.498,7.5853
"2012-02-03",8.775,8.925,8.725,8.42,8.22,8.055,7.525,7.3925,7.385,7.385,7.4603,7.5478
"2012-02-06",8.775,8.925,8.7,8.43,8.23,8.065,7.54,7.4148,7.408,7.405,7.4903,7.575
"2012-02-07",8.8,8.9,8.7,8.47,8.265,8.105,7.57,7.4375,7.435,7.4325,7.505,7.5878
"2012-02-08",8.875,9.05,8.775,8.495,8.3,8.165,7.65,7.52,7.5103,7.5153,7.5928,7.6775
"2012-02-09",8.9,9.05,8.8,8.53,8.355,8.215,7.675,7.5425,7.535,7.535,7.6153,7.7
"2012-02-10",8.925,9.075,8.8,8.475,8.295,8.134,7.61,7.4875,7.4725,7.47,7.5453,7.6328
"2012-02-13",8.925,9.125,8.8,8.48,8.28,8.125,7.5925,7.4578,7.453,7.453,7.5375,7.62
"2012-02-14",8.875,9,8.75,8.405,8.225,8.07,7.5275,7.39,7.375,7.38,7.545,7.625
"2012-02-15",8.875,9,8.7,8.41,8.215,8.0803,7.5575,7.4328,7.4228,7.4253,7.525,7.6075
"2012-02-16",8.875,9,8.7,8.38,8.215,8.0803,7.5575,7.4328,7.4228,7.4253,7.525,7.6075
"2012-02-17",8.875,9,8.8,8.475,8.275,8.09,7.585,7.4625,7.4575,7.465,7.55,7.625
"2012-02-20",8.875,9,8.8,8.475,8.275,8.09,7.58,7.4625,7.4575,7.465,7.5575,7.63
"2012-02-21",8.9,9,8.8,8.475,8.275,8.0725,7.5675,7.4553,7.4525,7.4625,7.5578,7.63
"2012-02-22",8.95,9,8.825,8.45,8.235,8.1375,7.6475,7.5475,7.545,7.545,7.62,7.6953
"2012-02-23",9,9.05,8.85,8.45,8.27,8.1675,7.6825,7.585,7.5828,7.59,7.6578,7.7453
"2012-02-24",8.95,9.05,8.85,8.45,8.27,8.15,7.6775,7.578,7.5728,7.5703,7.6525,7.74
"2012-02-27",8.95,9.05,8.85,8.5,8.325,8.21,7.69,7.565,7.555,7.5575,7.69,7.78
"2012-02-28",9.05,9.025,8.85,8.5,8.325,8.195,7.6775,7.55,7.545,7.5475,7.6253,7.71
"2012-02-29",9.25,9.15,8.8,8.45,8.3,8.148,7.65,7.533,7.538,7.525,7.6178,7.705
"2012-03-01",8.875,9,8.8,8.45,8.3,8.18,7.6725,7.558,7.55,7.545,7.625,7.7075
"2012-03-02",9.35,9,8.8,8.45,8.3,8.16,7.6603,7.5625,7.55,7.545,7.6303,7.715
"2012-03-05",9.25,9,8.8,8.45,8.3,8.175,7.67,7.57,7.56,7.535,7.635,7.71
"2012-03-06",9.25,9,8.8,8.45,8.275,8.16,7.6475,7.545,7.5325,7.5275,7.6203,7.6953
"2012-03-07",9.225,8.9,8.8,8.45,8.275,8.16,7.655,7.56,7.55,7.54,7.635,7.71
"2012-03-08",9.225,8.9,8.8,8.45,8.275,8.17,7.67,7.575,7.565,7.56,7.6453,7.7353
"2012-03-09",9.225,8.9,8.8,8.45,8.3,8.205,7.745,7.6503,7.645,7.65,7.7553,7.8428
"2012-03-12",9.1,8.8,8.8,8.45,8.3,8.135,7.72,7.67,7.73,7.7123,7.8125,7.9025
"2012-03-13",9,8.8,8.8,8.45,8.25,8.1025,7.7,7.68,7.7025,7.7325,7.825,7.9128
"2012-03-14",8.95,8.75,8.8,8.45,8.25,8.063,7.6825,7.6875,7.7125,7.73,7.8153,7.91
"2012-03-15",9.025,8.875,8.8,8.45,8.25,8.2103,7.775,7.775,7.785,7.8,7.8925,7.9825
"2012-03-16",9.05,8.85,8.8,8.45,8.25,8.245,7.825,7.805,7.83,7.855,7.89,8.05
"2012-03-19",9.025,8.85,8.8,8.45,8.25,8.235,7.815,7.84,7.8275,7.845,7.9353,8.0253
"2012-03-20",9,8.85,8.8,8.45,8.25,8.2275,7.8148,7.795,7.8328,7.845,7.9503,8.045
"2012-03-21",9,8.85,8.7,8.4,8.25,8.2025,7.7703,7.7525,7.7825,7.79,7.895,8.0128
"2012-03-22",9.025,8.85,8.65,8.39,8.25,8.16,7.74,7.72,7.72,7.7325,7.9,7.928
"2012-03-23",9.05,8.85,8.65,8.39,8.25,8.16,7.74,7.72,7.7253,7.7378,7.825,7.928
"2012-03-26",9.05,8.85,8.65,8.375,8.25,8.145,7.74,7.72,7.75,7.77,7.8603,7.9525
"2012-03-27",9.1,8.825,8.65,8.375,8.25,8.1485,7.745,7.7175,7.75,7.773,7.86,7.95
"2012-03-28",9.05,8.8,8.65,8.375,8.25,8.1425,7.73,7.76,7.8125,7.85,7.91,7.98
"2012-03-29",8.975,8.75,8.65,8.375,8.25,8.0898,7.7025,7.74,7.7853,7.815,7.8953,7.9775
"2012-03-30",8.6,8.425,8.3,8.15,8.075,8.0375,7.685,7.72,7.77,7.825,7.9003,7.98
"2012-04-02",8.6,8.425,8.3,8.15,8.075,8.0375,7.685,7.72,7.77,7.825,7.9003,7.98
"2012-04-03",8.525,8.45,8.325,8.175,8.1,8.045,7.7175,7.7575,7.815,7.8675,7.955,8.07
"2012-04-04",8.45,8.4,8.325,8.135,8.06,8.01,7.69,7.73,7.7775,7.835,7.9398,7.98
"2012-04-05",8.45,8.4,8.325,8.135,8.06,8.01,7.6873,7.7248,7.7748,7.8323,7.9398,7.98
"2012-04-06",8.45,8.4,8.325,8.135,8.06,8.01,7.6878,7.7248,7.7753,7.8323,7.9403,7.98
"2012-04-09",8.5,8.425,8.325,8.135,8.06,7.9875,7.655,7.6825,7.7325,7.7675,7.8703,7.9578
"2012-04-10",8.5,8.4,8.325,8.135,8.06,7.97,7.62,7.645,7.675,7.73,7.8353,7.9228
"2012-04-11",8.5,8.4,8.325,8.15,8.06,7.985,7.67,7.6875,7.755,7.7828,7.86,7.9575
"2012-04-12",8.45,8.35,8.325,8.15,8.06,7.95,7.6325,7.6575,7.6975,7.75,7.8528,7.9553
"2012-04-13",8.4,8.375,8.3,8.1,8.025,7.92,7.6025,7.6275,7.6675,7.7128,7.8075,7.9053
"2012-04-16",8.425,8.4,8.3,8.1,8.025,7.94,7.605,7.605,7.655,7.7025,7.7925,7.88
"2012-04-17",8.225,8.225,8.1,8.025,7.895,7.88,7.59,7.62,7.625,7.6625,7.755,7.8553
"2012-04-18",8.225,8.225,8.1,8.025,7.905,7.89,7.605,7.61,7.625,7.675,7.77,7.8625
"2012-04-19",8.25,8.25,8.1,8.025,7.94,7.92,7.6425,7.65,7.68,7.71,7.76,7.915
"2012-04-20",8.25,8.25,8.15,8.025,7.94,7.955,7.675,7.685,7.685,7.735,7.872,7.9703
"2012-04-23",8.25,8.25,8.15,8.025,7.94,7.965,7.6873,7.6998,7.7248,7.755,7.887,7.987
"2012-04-24",8.25,8.25,8.25,8.1,7.975,7.97,7.72,7.72,7.76,7.805,7.845,7.925
"2012-04-25",8.3,8.25,8.25,8.1,8.015,7.995,7.735,7.75,7.765,7.835,7.865,7.98
"2012-04-26",8.275,8.25,8.25,8.1,8.015,7.985,7.725,7.73,7.75,7.81,7.865,7.995
"2012-04-27",8.3,8.275,8.25,8.1,8.015,7.98,7.71,7.72,7.74,7.78,7.84,7.92
"2012-04-30",8.3,8.275,8.275,8.125,8.03,8.028,7.745,7.7525,7.775,7.8,7.87,7.96
"2012-05-01",8.3,8.3,8.275,8.125,8.03,8.03,7.75,7.76,7.77,7.78,7.84,7.96
"2012-05-02",8.3,8.3,8.275,8.125,8.06,8.04,7.7225,7.72,7.735,7.765,7.8553,7.9525
"2012-05-03",8.3,8.3,8.25,8.125,8.415,8.07,7.75,7.75,7.76,7.785,7.83,7.975
"2012-05-04",8.3,8.3,8.25,8.125,8.415,8.075,7.765,7.755,7.775,7.8,7.897,8
"2012-05-07",8.3,8.3,8.25,8.125,8.075,8.035,7.7125,7.7075,7.7175,7.7375,7.8153,7.9075
"2012-05-08",8.3,8.3,8.25,8.125,8.075,8.025,7.705,7.685,7.6925,7.71,7.81,7.8928
"2012-05-09",8.3,8.3,8.27,8.16,8.085,8.05,7.735,7.71,7.725,7.73,7.8153,7.9053
"2012-05-10",8.3,8.3,8.27,8.16,8.085,8.085,7.765,7.74,7.755,7.77,7.83,7.91
"2012-05-11",8.3,8.3,8.27,8.16,8.08,8.05,7.695,7.67,7.675,7.69,7.7978,7.8828
"2012-05-14",8.3,8.3,8.3,8.12,8.07,8.0498,7.685,7.625,7.623,7.63,7.7053,7.82
"2012-05-15",8.275,8.275,8.2,8.11,8.05,8.045,7.67,7.6025,7.59,7.5975,7.6978,7.75
"2012-05-16",8.325,8.275,8.2,8.11,8.05,8.0375,7.67,7.6075,7.605,7.61,7.6978,7.75
"2012-05-17",8.3,8.275,8.2,8.11,8.05,8.02,7.655,7.595,7.5975,7.5975,7.6725,7.745
"2012-05-18",8.3,8.25,8.2,8.11,8.05,7.99,7.6015,7.53,7.5375,7.5378,7.685,7.69
"2012-05-21",8.3,8.25,8.2,8.11,8.05,8,7.61,7.54,7.555,7.56,7.685,7.7003
"2012-05-22",8.3,8.25,8.2,8.09,8.025,8.01,7.645,7.59,7.595,7.6,7.6675,7.7278
"2012-05-23",8.3,8.25,8.2,8.09,8.025,8.03,7.6615,7.605,7.608,7.608,7.6753,7.735
"2012-05-24",8.3,8.225,8.25,8.115,8.075,8.04,7.685,7.6175,7.615,7.615,7.6775,7.7278
"2012-05-25",8.25,8.2,8.25,8.115,8.075,8.035,7.69,7.615,7.6125,7.6125,7.675,7.725
"2012-05-28",8.3,8.2,8.25,8.115,8.075,8.015,7.6678,7.63,7.6065,7.6075,7.665,7.7203
"2012-05-29",8.2,8.15,8.15,8.07,8.025,7.9735,7.665,7.6,7.5825,7.5775,7.645,7.7053
"2012-05-30",8.2,8.15,8.15,8.07,8.025,7.9465,7.6075,7.555,7.56,7.555,7.6375,7.693
"2012-05-31",8.075,8.025,7.95,7.9,7.85,7.795,7.445,7.43,7.43,7.435,7.51,7.583
"2012-06-01",7.975,7.99,7.95,7.9,7.85,7.6575,7.35,7.32,7.365,7.375,7.4075,7.4703
"2012-06-04",8,7.95,7.95,7.675,7.68,7.625,7.2975,7.275,7.2875,7.3,7.4025,7.4653
"2012-06-05",8,7.95,7.95,7.675,7.68,7.625,7.3,7.2925,7.3125,7.3225,7.405,7.4678
"2012-06-06",8,7.95,7.82,7.72,7.715,7.685,7.37,7.365,7.3925,7.4025,7.45,7.5
"2012-06-07",8,7.95,7.82,7.72,7.715,7.685,7.34,7.36,7.36,7.39,7.4225,7.4775
"2012-06-08",7.95,7.9,7.82,7.72,7.715,7.6,7.265,7.2725,7.3148,7.325,7.4125,7.475
"2012-06-11",7.925,7.85,7.77,7.66,7.675,7.575,7.26,7.255,7.315,7.33,7.4178,7.48
"2012-06-12",7.85,7.8,7.77,7.6,7.6,7.482,7.175,7.175,7.2425,7.2625,7.425,7.4528
"2012-06-13",7.85,7.8,7.66,7.55,7.5,7.4875,7.185,7.195,7.26,7.29,7.4,7.4678
"2012-06-14",7.875,7.775,7.66,7.55,7.5,7.5375,7.215,7.225,7.2775,7.3,7.4,7.465
"2012-06-15",7.875,7.76,7.75,7.65,7.62,7.605,7.26,7.255,7.31,7.275,7.425,7.4553
"2012-06-18",8.1,7.91,7.95,7.85,7.85,7.785,7.395,7.36,7.3625,7.375,7.44,7.5
"2012-06-19",8.1,8.05,7.95,7.85,7.85,7.805,7.405,7.355,7.355,7.365,7.4573,7.5128
"2012-06-20",8.15,8.11,7.95,7.85,7.85,7.86,7.46,7.42,7.4175,7.42,7.49,7.5475
"2012-06-21",8.15,8.11,8.02,7.9,7.865,7.795,7.38,7.3425,7.3425,7.35,7.485,7.5053
"2012-06-22",8.15,8.105,8.02,7.9,7.865,7.755,7.315,7.275,7.285,7.2925,7.3678,7.4253
"2012-06-25",8.15,8.09,8.02,7.9,7.74,7.74,7.285,7.24,7.255,7.255,7.3478,7.4053
"2012-06-26",8.14,8.08,8.02,7.9,7.74,7.78,7.315,7.255,7.265,7.265,7.3538,7.4138
"2012-06-27",8.14,8.085,8.02,7.9,7.74,7.79,7.33,7.265,7.275,7.285,7.3553,7.4178
"2012-06-28",8.15,8.09,8.02,7.9,7.74,7.785,7.325,7.26,7.265,7.275,7.3525,7.415
"2012-06-29",8.15,8.09,8.02,7.9,7.74,7.79,7.345,7.27,7.285,7.295,7.3728,7.4353
"2012-07-02",8.15,8.09,8.02,7.9,7.74,7.84,7.385,7.325,7.3475,7.36,7.4,7.47
"2012-07-03",8.15,8.09,8.02,7.9,7.74,7.825,7.395,7.3375,7.35,7.36,7.4,7.47
"2012-07-04",8.1,8.05,8.02,7.9,7.74,7.805,7.375,7.31,7.3325,7.35,7.3953,7.4628
"2012-07-05",8.075,8.04,8,7.875,7.825,7.765,7.365,7.3,7.318,7.32,7.3853,7.4528
"2012-07-06",8.05,7.995,8,7.875,7.81,7.73,7.3175,7.26,7.265,7.28,7.3678,7.4298
"2012-07-09",8.075,8.04,8,7.83,7.8,7.72,7.3125,7.2425,7.2525,7.2575,7.3603,7.4228
"2012-07-10",8.075,8.04,8,7.83,7.8,7.74,7.3125,7.24,7.245,7.255,7.3528,7.4153
"2012-07-11",8.05,8.015,8,7.83,7.8,7.725,7.31,7.245,7.24,7.245,7.265,7.335
"2012-07-12",7.95,7.91,7.85,7.7,7.62,7.59,7.13,7.08,7.06,7.07,7.128,7.193
"2012-07-13",8.025,7.94,7.85,7.7,7.63,7.595,7.155,7.07,7.075,7.0775,7.153,7.218
"2012-07-16",7.95,7.885,7.75,7.59,7.525,7.48,7.0665,6.984,6.9903,6.994,7.0728,7.138
"2012-07-17",7.95,7.885,7.75,7.59,7.525,7.575,7.13,7.045,7.043,7.0415,7.1003,7.1728
"2012-07-18",7.95,7.885,7.8,7.7,7.675,7.6,7.14,7.035,7.025,7.0225,7.1078,7.1703
"2012-07-19",7.95,7.925,7.8,7.7,7.675,7.66,7.205,7.098,7.083,7.095,7.1428,7.2103
"2012-07-20",7.95,7.925,7.8,7.7,7.675,7.63,7.165,7.0775,7.0635,7.07,7.1403,7.2028
"2012-07-23",7.95,7.94,7.8,7.7,7.675,7.575,7.085,6.9725,6.975,6.965,7.0228,7.0878
"2012-07-24",7.95,7.94,7.8,7.7,7.675,7.605,7.11,7.0075,7,6.9975,7.0603,7.1253
"2012-07-25",7.925,7.95,7.8,7.7,7.675,7.65,7.155,7.05,7.0425,7.055,7.06,7.13
"2012-07-26",7.925,7.95,7.8,7.7,7.675,7.63,7.165,7.06,7.0575,7.065,7.12,7.1878
"2012-07-27",7.975,7.91,7.8,7.73,7.75,7.64,7.185,7.0775,7.08,7.075,7.1253,7.1778
"2012-07-30",7.975,7.91,7.8,7.73,7.75,7.64,7.185,7.08,7.085,7.095,7.1328,7.185
"2012-07-31",8,7.985,7.88,7.78,7.77,7.73,7.27,7.1575,7.155,7.1625,7.215,7.26
"2012-08-01",8,7.975,7.88,7.78,7.77,7.76,7.275,7.159,7.1475,7.1425,7.2053,7.2503
"2012-08-02",8,7.975,7.88,7.78,7.77,7.73,7.265,7.12,7.115,7.1,7.1678,7.2128
"2012-08-03",8,7.96,7.88,7.78,7.77,7.75,7.2625,7.105,7.09,7.09,7.1575,7.2028
"2012-08-06",8,7.96,7.88,7.78,7.83,7.72,7.235,7.095,7.085,7.075,7.1503,7.1953
"2012-08-07",7.99,7.96,7.88,7.78,7.78,7.695,7.215,7.075,7.065,7.055,7.17,7.215
"2012-08-08",7.99,7.985,7.88,7.78,7.78,7.73,7.245,7.1025,7.085,7.0725,7.1528,7.1978
"2012-08-09",8.015,8.025,7.88,7.78,7.78,7.745,7.2575,7.0975,7.0775,7.0675,7.1328,7.1728
"2012-08-10",8.015,8.025,7.88,7.78,7.78,7.73,7.225,7.06,7.04,7.025,7.135,7.15
"2012-08-13",8.015,8.025,7.88,7.78,7.78,7.74,7.27,7.105,7.085,7.065,7.135,7.1753
"2012-08-14",8.04,8.035,7.88,7.78,7.78,7.8,7.323,7.165,7.135,7.1225,7.1478,7.1978
"2012-08-15",8.04,8.035,7.88,7.78,7.78,7.8,7.323,7.165,7.135,7.1225,7.1478,7.1978
"2012-08-16",8.075,8.035,7.88,7.88,7.88,7.835,7.4025,7.255,7.245,7.24,7.2653,7.3
"2012-08-17",8.075,8.025,7.88,7.88,7.88,7.84,7.3815,7.2315,7.2075,7.205,7.2503,7.2953
"2012-08-20",8.1,8.05,7.88,7.88,7.88,7.84,7.3815,7.2315,7.2075,7.205,7.2503,7.2953
"2012-08-21",8.1,8.05,7.88,7.88,7.88,7.84,7.415,7.275,7.2575,7.255,7.27,7.3
"2012-08-22",8.1,8.05,7.975,7.905,7.88,7.83,7.385,7.24,7.22,7.2128,7.25,7.29
"2012-08-23",8.1,8.05,7.975,7.905,7.88,7.805,7.38,7.2375,7.205,7.2,7.2325,7.285
"2012-08-24",8.1,8.05,7.975,7.905,7.88,7.8,7.37,7.215,7.185,7.17,7.23,7.2853
"2012-08-27",8.05,8.05,7.975,7.905,7.88,7.8,7.355,7.195,7.165,7.155,7.2278,7.2753
"2012-08-28",8.075,8.075,7.975,7.905,7.88,7.8,7.35,7.19,7.17,7.16,7.225,7.275
"2012-08-29",8.075,8.075,7.975,7.905,7.88,7.785,7.355,7.205,7.19,7.175,7.23,7.2825
"2012-08-30",8.075,8.075,7.95,7.87,7.83,7.76,7.35,7.2,7.185,7.175,7.23,7.28
"2012-08-31",8.05,8.025,7.95,7.87,7.83,7.79,7.38,7.25,7.2125,7.2125,7.23,7.34
"2012-09-03",8.05,8.05,7.95,7.87,7.83,7.805,7.36,7.23,7.21,7.2,7.23,7.26
"2012-09-04",8.05,8.05,7.95,7.915,7.89,7.785,7.38,7.25,7.21,7.19,7.255,7.3003
"2012-09-05",8.05,8.025,7.95,7.915,7.89,7.76,7.3575,7.23,7.19,7.175,7.2528,7.3075
